Место,Название компании,Регион,Отрасль,Итоговый балл,kind
145,EKF,Москва,"Промышленное производство (непищевое), торгово-производственные компании",101.41,Крупные
146,Ренессанс Банк,Москва,Банки,101.13,Крупные
147,ICL Services,Республика Татарстан,IT и интернет,101.03,Крупные
148,АУДИОТЕЛЕ,Москва,"Телекоммуникации, связь",100.99,Крупные
149,S8 Capital,Москва,IT и интернет,100.94,Крупные
150,Ральф Рингер,Москва,Розничные сети,100.9,Крупные
151,Система клиник МЕДИ,Санкт-Петербург,Фармацевтика и медицина,100.85,Крупные
152,ОптиКом,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",100.84,Крупные
153,Skoltech,Москва,Наука и образование,100.79,Крупные
154,Росводоканал Краснодар,Краснодарский край,Услуги для населения,100.78,Крупные
155,SimbirSoft,Ульяновская область,IT и интернет,100.73,Крупные
156,Балтийский лизинг,Санкт-Петербург,"Финансы, страхование, аудит",100.71,Крупные
157,Завод приборных подшипников Самара,Самарская область,"Промышленное производство (непищевое), торгово-производственные компании",100.71,Крупные
158,Эй-Пи Трейд (AP TRADE),Хабаровский край,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",100.69,Крупные
159,"Farmani (Аптечество, оптика Optima)",Нижегородская область,Фармацевтика и медицина,100.69,Крупные
160,ДКС,Тверская область,"Промышленное производство (непищевое), торгово-производственные компании",100.68,Крупные
161,White Rabbit Family,Москва,"Ресторанные сети, гостиницы",100.64,Крупные
162,"Сеть салонов ""Пальчики""",Москва,Услуги для населения,100.63,Крупные
163,ЗАСЛОН,Санкт-Петербург,"Промышленное производство (непищевое), торгово-производственные компании",100.61,Крупные
164,Sportmaster Lab,Москва,IT и интернет,100.55,Крупные
165,Группа компаний OPEN,Москва,Услуги для бизнеса,100.49,Крупные
166,Парфюм - Лидер,Омская область,Розничные сети,100.42,Крупные
167,Nexign,Санкт-Петербург,IT и интернет,100.35,Крупные
168,ITMS ex.BAT,Москва,"FMCG, производство и торговля товарами повседневного спроса, включая упакованные пищевые продукты и напитки",100.31,Крупные
169,ЭЛ5-Энерго,Москва,"Энергетика, добыча и переработка сырья",100.25,Крупные
170,TOGAS,Москва,Розничные сети,100.18,Крупные
171,"ООО ""ФракДжет-Волга""",Саратовская область,"Энергетика, добыча и переработка сырья",100.18,Крупные
172,Aston,Москва,IT и интернет,100.17,Крупные
173,Русский Холод,Московская область,"Оптовые продажи, дилеры, дистрибьюторы",100.16,Крупные
174,Клининговая компания Ронова,Москва,Услуги для бизнеса,100.05,Крупные
175,Дятьково,Москва,"Промышленное производство (непищевое), торгово-производственные компании",100.03,Крупные
176,Правительство Сахалинской области,Сахалинская область,Государственная служба и организации,100.01,Крупные
177,Softline,Москва,IT и интернет,99.99,Крупные
